address,date,image_link,link_to_page,n_reviews,review,title,user_location,username,latitude,longitude,sentiment_polarity
"Boston, Suffolk, Massachusetts, United States of America",2017-09-09,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,Food was very ho hum and non memorable. The Utah liquor laws are a total joke. You pay for a $10 margarita but get 0.5oz of booze in it! Waste of money. The gelato was the best part of the meal!,Moab Brewery,"Boston, Massachusetts",Chappylover,42.3604823,-71.0595678,0.3
"Hudson River, Town of Coeymans, Albany County, New York, United States of America",2017-04-11,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"Beer was good although they did not have beer flights due to UT liquor laws, but would sell you a 'taste' for $0.65 (but only two tastes per person at the table at a time). It was the food that was so disappointing...a Caesar salad",Moab Brewery,"Hudson River Valley, New York",chivestravels,42.4999012,-73.7793971,0.19166666666666665
"Lakewood, Jefferson County, Colorado, United States of America",2016-10-17,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"This brewery, like all breweries in Utah, is hamstrung by Utah's liquor laws. Regardless, the beers are average. The only one we particularly like is the Black IPA. All others are unimpressive. The food is pretty good so it is a good place to get",Moab Brewery,"Lakewood, Colorado",MortyNik,39.6246085,-105.084204002224,0.21428571428571427
"Raleigh, Wake County, North Carolina, United States of America",2016-10-12,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,") If you are from out of state, ask about the liquor laws - bottled/canned beer is limited to somewhere around 4%. Draft beer, which you can take to go in growers, is much higher. Not sure about the logic, but now you know",Moab Brewery,"Raleigh, North Carolina",Sharon L,35.7803977,-78.6390989,-0.023809523809523808
,2016-10-04,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"FYI, Utah has interesting liquor laws. The draft beers are only half strength, but no fear, ask for one of their canned or bottled selections if you want full strength. Not all of the selections are both ways so be sure to ask your server.",Moab Brewery,"Spokane Valley, Washington",BlueCrabby,,,0.23666666666666666
"Issaquah, King County, Washington, United States of America",2017-06-24,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"2% alcohol by law. This I can’t understand. Straight liquor and wine can be served in the same establishment with much higher alcohol content, but beer is limited to 3.2%. Talk about living in the dark ages! But, I digress; the Moab Brewery has a",Moab Brewery,"Issaquah, Washington",BigOrangeCat,47.5348778,-122.0432974,0.038214285714285715
"Milford, New Haven County, Connecticut, United States of America",2015-12-03,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"The brewery sells biking jerseys, tshirts, souvenirs, carry out ice cream, and even carry out beer (a BIG plus given Utah's strick liquor laws). The staff was friendly, and service was quick despite being very crowded. We really loved everything, except the food. The chicken",Moab Brewery,"Milford, CT",Vickifa,41.2223194,-73.0564953,0.16805555555555554
"Toronto, Ontario, Canada",2015-11-30,https://media-cdn.tripadvisor.com/media/photo-f/01/53/a2/0a/the-moab-brewery.jpg,https://www.tripadvisor.com/Restaurant_Review-g60724-d518809-Reviews-Moab_Brewery-Moab_Utah.html?t=28965#REVIEWS,4518,"Utah liquor laws are funny though, so we could only order a few samples at a time, but it was alright! Our server was accommodating given how busy his section was! The beers were quite good and pints were only $2.75 each! Can't beat that!",Moab Brewery,toronto,beachgirl078,43.653963,-79.387207,0.13749999999999998
"Washington County, Utah, United States of America",2017-08-08,https://media-cdn.tripadvisor.com/media/photo-f/01/57/bd/0c/park-city.jpg,https://www.tripadvisor.com/Restaurant_Review-g57097-d1013646-Reviews-No_Name_Saloon-Park_City_Utah.html?t=28965#REVIEWS,960,"It is a ""bar"", so everyone in your group must be over 21. It's really not a place for young kids,but Utah liquor laws are sure silly. We will be back on our next trip to Park City.",No Name Saloon,"Washington, Utah",AJUC,37.2393471,-113.525776,0.0
"London, Greater London, England, UK",2017-02-22,https://media-cdn.tripadvisor.com/media/photo-f/01/57/bd/0c/park-city.jpg,https://www.tripadvisor.com/Restaurant_Review-g57097-d1013646-Reviews-No_Name_Saloon-Park_City_Utah.html?t=28965#REVIEWS,960,Perfect typical Ski bar! No fuss and great times. Food not bad either. Just have to sort those pesky Utah liquor laws.,No Name Saloon,"London, United Kingdom",smokingaces34,51.5073219,-0.1276474,0.48541666666666666
